dispute_id,reason_code,reason_code_label,card_network,dispute_amount,currency,transaction_date,days_to_dispute,product_category,shipping_method,delivery_confirmed,has_delivery_proof,ip_geolocation_match,avs_cvv_match,customer_account_age_days,customer_prior_disputes,customer_prior_orders,has_customer_correspondence,has_3ds_authentication,evidence_needed,outcome
DSP-000971,4853,Cardholder Dispute - Defective,Mastercard,1904.43,INR,2026-08-29,18,automotive,express,True,True,True,cvv_only,112,0,6,True,True,"['product_description', 'quality_cert', 'customer_comms']",merchant_won
DSP-001252,4837,No Cardholder Authorization,Mastercard,775.58,INR,2026-08-29,8,grocery,same_day,False,False,False,neither,27,0,0,False,False,"['3ds_authentication', 'avs_cvv', 'ip_match']",merchant_lost
DSP-003411,4853,Cardholder Dispute - Defective,Mastercard,337.06,INR,2026-08-29,5,grocery,standard,True,True,True,neither,206,0,3,False,True,"['product_description', 'quality_cert', 'customer_comms']",merchant_won
DSP-001222,13.6,Credit Not Processed,Visa,3921.23,INR,2026-08-29,2,grocery,express,True,True,True,both_match,249,0,8,True,True,"['refund_receipt', 'refund_arn', 'policy_terms']",merchant_won
DSP-001895,10.4,Fraud - Card Absent,Visa,3881.82,INR,2026-08-29,59,health,express,True,True,False,cvv_only,2,0,2,False,False,"['avs_cvv', 'ip_match', 'delivery_proof', 'device_fingerprint']",merchant_lost
DSP-001089,4853,Cardholder Dispute - Defective,Mastercard,2113.2,INR,2026-08-29,13,home,same_day,True,True,True,both_match,88,1,3,False,True,"['product_description', 'quality_cert', 'customer_comms']",merchant_won
DSP-004297,4853,Cardholder Dispute - Defective,Mastercard,1304.71,INR,2026-08-29,22,fashion,same_day,True,True,True,both_match,316,0,2,False,False,"['product_description', 'quality_cert', 'customer_comms']",merchant_won
DSP-000966,13.1,Merchandise Not Received,Visa,1924.53,INR,2026-08-29,4,health,standard,True,True,True,neither,402,0,9,True,True,"['shipping_confirmation', 'delivery_proof', 'tracking_url']",merchant_won
DSP-004030,4860,Credit Not Processed (MC),Mastercard,691.82,INR,2026-08-29,4,grocery,same_day,True,True,True,both_match,60,0,5,True,True,"['refund_receipt', 'refund_arn', 'policy_terms']",merchant_won
DSP-001674,4863,Cardholder Does Not Recognize,Mastercard,704.5,INR,2026-08-29,63,toys,same_day,True,True,False,cvv_only,51,0,1,True,False,"['billing_descriptor', 'customer_comms', 'ip_match']",merchant_won
DSP-000841,4837,No Cardholder Authorization,Mastercard,475.01,INR,2026-08-29,17,home,standard,True,False,True,cvv_only,160,1,3,False,False,"['3ds_authentication', 'avs_cvv', 'ip_match']",merchant_lost
DSP-004057,13.1,Merchandise Not Received,Visa,4475.84,INR,2026-08-29,23,fashion,pickup,True,True,True,cvv_only,40,0,4,True,True,"['shipping_confirmation', 'delivery_proof', 'tracking_url']",merchant_won
DSP-001866,13.3,Not as Described,Visa,2737.95,INR,2026-08-29,19,home,standard,True,True,True,both_match,39,0,11,True,True,"['product_description', 'customer_comms', 'return_policy']",merchant_won
DSP-000491,13.6,Credit Not Processed,Visa,1134.66,INR,2026-08-29,25,books,pickup,True,True,True,both_match,9,0,2,False,True,"['refund_receipt', 'refund_arn', 'policy_terms']",merchant_won
DSP-003528,4853,Cardholder Dispute - Defective,Mastercard,163.99,INR,2026-08-29,3,grocery,same_day,True,True,True,both_match,314,1,5,True,True,"['product_description', 'quality_cert', 'customer_comms']",merchant_lost
DSP-002827,4863,Cardholder Does Not Recognize,Mastercard,644.61,INR,2026-08-29,59,sports,pickup,True,True,True,neither,28,0,2,False,False,"['billing_descriptor', 'customer_comms', 'ip_match']",merchant_lost
DSP-004338,4853,Cardholder Dispute - Defective,Mastercard,1488.65,INR,2026-08-29,1,home,express,True,True,True,avs_only,337,0,8,True,True,"['product_description', 'quality_cert', 'customer_comms']",merchant_lost
DSP-000480,4837,No Cardholder Authorization,Mastercard,8250.11,INR,2026-08-29,0,health,express,False,False,True,cvv_only,15,1,1,False,False,"['3ds_authentication', 'avs_cvv', 'ip_match']",merchant_lost
DSP-003659,4860,Credit Not Processed (MC),Mastercard,758.29,INR,2026-08-29,7,electronics,pickup,True,True,True,both_match,369,0,8,False,True,"['refund_receipt', 'refund_arn', 'policy_terms']",merchant_won
DSP-000467,4853,Cardholder Dispute - Defective,Mastercard,86.85,INR,2026-08-29,19,automotive,standard,True,True,True,both_match,458,0,8,True,True,"['product_description', 'quality_cert', 'customer_comms']",merchant_lost
DSP-003288,4837,No Cardholder Authorization,Mastercard,508.27,INR,2026-08-29,4,sports,express,True,False,True,neither,55,0,1,True,False,"['3ds_authentication', 'avs_cvv', 'ip_match']",merchant_lost
DSP-003843,10.4,Fraud - Card Absent,Visa,900.23,INR,2026-08-29,7,fashion,pickup,False,False,True,neither,75,0,1,True,False,"['avs_cvv', 'ip_match', 'delivery_proof', 'device_fingerprint']",merchant_won
DSP-001664,4855,Goods or Services Not Provided,Mastercard,377.57,INR,2026-08-29,9,beauty,express,True,True,True,both_match,102,0,2,False,False,"['shipping_confirmation', 'delivery_proof', 'signed_receipt']",merchant_won
DSP-000244,10.4,Fraud - Card Absent,Visa,1051.17,INR,2026-08-29,2,books,express,True,False,False,both_match,194,1,2,True,False,"['avs_cvv', 'ip_match', 'delivery_proof', 'device_fingerprint']",merchant_lost
DSP-004877,10.4,Fraud - Card Absent,Visa,962.92,INR,2026-08-29,58,grocery,same_day,True,True,True,neither,239,1,3,True,False,"['avs_cvv', 'ip_match', 'delivery_proof', 'device_fingerprint']",merchant_lost
DSP-002181,13.6,Credit Not Processed,Visa,1234.52,INR,2026-08-29,8,toys,same_day,True,True,True,cvv_only,343,0,7,True,False,"['refund_receipt', 'refund_arn', 'policy_terms']",merchant_won
DSP-001446,10.4,Fraud - Card Absent,Visa,6194.36,INR,2026-08-29,26,electronics,same_day,False,False,False,avs_only,45,0,6,False,False,"['avs_cvv', 'ip_match', 'delivery_proof', 'device_fingerprint']",merchant_lost
DSP-000650,10.4,Fraud - Card Absent,Visa,929.92,INR,2026-08-29,3,home,express,False,False,True,neither,13,0,5,True,False,"['avs_cvv', 'ip_match', 'delivery_proof', 'device_fingerprint']",merchant_won
DSP-001929,13.1,Merchandise Not Received,Visa,304.26,INR,2026-08-29,2,electronics,pickup,True,True,True,neither,37,0,6,True,True,"['shipping_confirmation', 'delivery_proof', 'tracking_url']",merchant_won
DSP-004440,10.4,Fraud - Card Absent,Visa,1205.12,INR,2026-08-29,0,toys,express,False,False,False,both_match,376,0,1,False,False,"['avs_cvv', 'ip_match', 'delivery_proof', 'device_fingerprint']",merchant_lost
DSP-000756,10.4,Fraud - Card Absent,Visa,6413.08,INR,2026-08-29,16,books,standard,True,False,False,both_match,13,1,4,False,False,"['avs_cvv', 'ip_match', 'delivery_proof', 'device_fingerprint']",merchant_lost
DSP-003714,4853,Cardholder Dispute - Defective,Mastercard,3821.18,INR,2026-08-29,11,books,express,True,True,True,both_match,3,0,7,False,False,"['product_description', 'quality_cert', 'customer_comms']",merchant_lost
DSP-003680,13.1,Merchandise Not Received,Visa,1150.03,INR,2026-08-29,0,health,standard,True,True,True,both_match,438,0,6,False,True,"['shipping_confirmation', 'delivery_proof', 'tracking_url']",merchant_won
DSP-000098,13.1,Merchandise Not Received,Visa,635.8,INR,2026-08-29,15,home,standard,True,True,True,both_match,195,0,6,False,False,"['shipping_confirmation', 'delivery_proof', 'tracking_url']",merchant_won
DSP-000357,4855,Goods or Services Not Provided,Mastercard,724.65,INR,2026-08-29,10,toys,express,True,True,True,avs_only,164,0,3,False,False,"['shipping_confirmation', 'delivery_proof', 'signed_receipt']",merchant_lost
DSP-000702,10.4,Fraud - Card Absent,Visa,1919.42,INR,2026-08-29,5,automotive,pickup,False,False,True,cvv_only,359,1,4,False,False,"['avs_cvv', 'ip_match', 'delivery_proof', 'device_fingerprint']",merchant_lost
DSP-002937,4837,No Cardholder Authorization,Mastercard,14650.9,INR,2026-08-29,4,fashion,pickup,True,False,False,neither,14,0,4,True,False,"['3ds_authentication', 'avs_cvv', 'ip_match']",merchant_won
DSP-002585,4855,Goods or Services Not Provided,Mastercard,1132.99,INR,2026-08-29,25,electronics,same_day,False,False,True,both_match,58,0,3,True,True,"['shipping_confirmation', 'delivery_proof', 'signed_receipt']",merchant_won
DSP-002776,4863,Cardholder Does Not Recognize,Mastercard,1956.03,INR,2026-08-29,0,health,same_day,True,True,False,neither,83,0,2,True,True,"['billing_descriptor', 'customer_comms', 'ip_match']",merchant_lost
DSP-003773,13.6,Credit Not Processed,Visa,6759.85,INR,2026-08-29,0,sports,pickup,False,False,True,both_match,262,0,6,True,True,"['refund_receipt', 'refund_arn', 'policy_terms']",merchant_won
DSP-004175,4853,Cardholder Dispute - Defective,Mastercard,832.44,INR,2026-08-29,15,books,express,True,True,True,both_match,13,0,7,True,True,"['product_description', 'quality_cert', 'customer_comms']",merchant_won
DSP-003054,4855,Goods or Services Not Provided,Mastercard,2372.45,INR,2026-08-29,3,electronics,express,True,True,True,both_match,368,1,6,True,True,"['shipping_confirmation', 'delivery_proof', 'signed_receipt']",merchant_won
DSP-001366,4855,Goods or Services Not Provided,Mastercard,1731.56,INR,2026-08-29,15,grocery,express,True,True,True,both_match,930,0,2,True,True,"['shipping_confirmation', 'delivery_proof', 'signed_receipt']",merchant_won
DSP-001434,13.6,Credit Not Processed,Visa,1717.64,INR,2026-08-29,6,beauty,express,False,False,True,both_match,18,0,11,True,True,"['refund_receipt', 'refund_arn', 'policy_terms']",merchant_lost
DSP-000617,4860,Credit Not Processed (MC),Mastercard,890.27,INR,2026-08-29,10,home,pickup,True,False,True,cvv_only,701,0,7,True,True,"['refund_receipt', 'refund_arn', 'policy_terms']",merchant_won
DSP-003950,13.3,Not as Described,Visa,857.03,INR,2026-08-29,7,toys,pickup,True,True,True,cvv_only,565,0,6,True,True,"['product_description', 'customer_comms', 'return_policy']",merchant_lost
DSP-003825,10.4,Fraud - Card Absent,Visa,617.25,INR,2026-08-29,31,fashion,same_day,False,False,True,neither,212,0,3,False,False,"['avs_cvv', 'ip_match', 'delivery_proof', 'device_fingerprint']",merchant_lost
DSP-002040,13.3,Not as Described,Visa,654.83,INR,2026-08-29,28,grocery,express,True,True,True,both_match,117,0,10,False,True,"['product_description', 'customer_comms', 'return_policy']",merchant_won
DSP-002449,13.3,Not as Described,Visa,2042.41,INR,2026-08-29,3,beauty,express,True,True,True,both_match,597,1,8,False,True,"['product_description', 'customer_comms', 'return_policy']",merchant_won
DSP-004404,13.1,Merchandise Not Received,Visa,7269.75,INR,2026-08-29,20,automotive,same_day,True,True,True,both_match,176,0,5,False,True,"['shipping_confirmation', 'delivery_proof', 'tracking_url']",merchant_won
DSP-002118,13.3,Not as Described,Visa,1197.02,INR,2026-08-29,45,beauty,express,False,False,True,both_match,99,0,7,False,True,"['product_description', 'customer_comms', 'return_policy']",merchant_won
DSP-002088,10.5,Fraud - Counterfeit,Visa,498.23,INR,2026-08-29,30,books,express,True,True,False,neither,26,0,2,False,False,"['emv_chip_data', 'pin_verification']",merchant_won
DSP-001950,4837,No Cardholder Authorization,Mastercard,1873.05,INR,2026-08-29,120,books,express,True,False,False,avs_only,140,0,3,False,False,"['3ds_authentication', 'avs_cvv', 'ip_match']",merchant_lost
DSP-003041,10.4,Fraud - Card Absent,Visa,1277.72,INR,2026-08-29,1,automotive,express,True,True,True,neither,49,2,0,True,False,"['avs_cvv', 'ip_match', 'delivery_proof', 'device_fingerprint']",merchant_won
DSP-001535,10.4,Fraud - Card Absent,Visa,3034.95,INR,2026-08-29,21,toys,standard,False,False,True,both_match,108,0,1,False,False,"['avs_cvv', 'ip_match', 'delivery_proof', 'device_fingerprint']",merchant_lost
DSP-001318,10.4,Fraud - Card Absent,Visa,1006.27,INR,2026-08-29,59,toys,same_day,True,False,False,neither,50,2,3,False,False,"['avs_cvv', 'ip_match', 'delivery_proof', 'device_fingerprint']",merchant_lost
DSP-002313,4853,Cardholder Dispute - Defective,Mastercard,188.46,INR,2026-08-29,60,fashion,pickup,True,True,True,both_match,30,0,7,False,True,"['product_description', 'quality_cert', 'customer_comms']",merchant_won
DSP-002076,13.1,Merchandise Not Received,Visa,2815.65,INR,2026-08-29,0,toys,express,True,True,True,both_match,158,0,9,False,True,"['shipping_confirmation', 'delivery_proof', 'tracking_url']",merchant_won
DSP-004801,10.4,Fraud - Card Absent,Visa,445.9,INR,2026-08-29,78,toys,standard,True,False,False,neither,0,1,4,False,False,"['avs_cvv', 'ip_match', 'delivery_proof', 'device_fingerprint']",merchant_lost
DSP-003525,4853,Cardholder Dispute - Defective,Mastercard,904.27,INR,2026-08-29,10,health,standard,True,True,True,both_match,51,0,3,True,True,"['product_description', 'quality_cert', 'customer_comms']",merchant_lost
DSP-000172,4853,Cardholder Dispute - Defective,Mastercard,109.77,INR,2026-08-29,7,fashion,same_day,False,False,True,both_match,212,0,12,True,True,"['product_description', 'quality_cert', 'customer_comms']",merchant_lost
DSP-002374,4853,Cardholder Dispute - Defective,Mastercard,695.76,INR,2026-08-29,6,home,pickup,True,True,True,both_match,150,0,6,True,True,"['product_description', 'quality_cert', 'customer_comms']",merchant_won
DSP-001953,4837,No Cardholder Authorization,Mastercard,550.86,INR,2026-08-29,19,toys,express,True,True,True,avs_only,113,1,0,True,True,"['3ds_authentication', 'avs_cvv', 'ip_match']",merchant_won
DSP-003762,4837,No Cardholder Authorization,Mastercard,1117.36,INR,2026-08-29,21,books,standard,True,False,True,neither,6,0,7,False,False,"['3ds_authentication', 'avs_cvv', 'ip_match']",merchant_won
DSP-000565,13.1,Merchandise Not Received,Visa,5712.24,INR,2026-08-29,8,sports,same_day,True,True,True,both_match,443,0,4,False,True,"['shipping_confirmation', 'delivery_proof', 'tracking_url']",merchant_won
DSP-002711,10.4,Fraud - Card Absent,Visa,354.55,INR,2026-08-29,8,toys,standard,False,False,False,neither,30,0,6,False,False,"['avs_cvv', 'ip_match', 'delivery_proof', 'device_fingerprint']",merchant_won
DSP-004365,10.5,Fraud - Counterfeit,Visa,746.05,INR,2026-08-29,21,sports,express,False,False,False,avs_only,70,1,1,False,True,"['emv_chip_data', 'pin_verification']",merchant_lost
DSP-000536,4863,Cardholder Does Not Recognize,Mastercard,362.24,INR,2026-08-29,46,sports,pickup,False,False,True,both_match,12,0,0,True,False,"['billing_descriptor', 'customer_comms', 'ip_match']",merchant_won
DSP-003708,4853,Cardholder Dispute - Defective,Mastercard,982.94,INR,2026-08-29,96,fashion,standard,True,True,True,both_match,104,0,9,True,False,"['product_description', 'quality_cert', 'customer_comms']",merchant_won
DSP-001961,4860,Credit Not Processed (MC),Mastercard,6632.85,INR,2026-08-29,9,health,same_day,True,True,True,both_match,156,0,8,False,True,"['refund_receipt', 'refund_arn', 'policy_terms']",merchant_won
DSP-000879,4837,No Cardholder Authorization,Mastercard,6202.04,INR,2026-08-29,28,automotive,express,False,False,False,cvv_only,72,1,0,True,False,"['3ds_authentication', 'avs_cvv', 'ip_match']",merchant_lost
DSP-001413,13.1,Merchandise Not Received,Visa,1405.79,INR,2026-08-29,4,electronics,express,True,True,False,both_match,52,0,4,False,True,"['shipping_confirmation', 'delivery_proof', 'tracking_url']",merchant_won
DSP-001734,13.1,Merchandise Not Received,Visa,779.04,INR,2026-08-29,3,home,standard,True,True,True,both_match,142,0,7,False,True,"['shipping_confirmation', 'delivery_proof', 'tracking_url']",merchant_won
DSP-002935,4860,Credit Not Processed (MC),Mastercard,291.02,INR,2026-08-29,18,electronics,standard,True,True,True,both_match,125,0,7,True,True,"['refund_receipt', 'refund_arn', 'policy_terms']",merchant_won
DSP-004996,4837,No Cardholder Authorization,Mastercard,5771.9,INR,2026-08-29,7,home,pickup,False,False,True,neither,86,0,2,False,False,"['3ds_authentication', 'avs_cvv', 'ip_match']",merchant_won
DSP-000796,4853,Cardholder Dispute - Defective,Mastercard,1102.48,INR,2026-08-29,40,toys,pickup,False,False,True,avs_only,16,0,4,False,True,"['product_description', 'quality_cert', 'customer_comms']",merchant_lost
DSP-000242,4853,Cardholder Dispute - Defective,Mastercard,5021.32,INR,2026-08-29,8,health,same_day,True,True,True,both_match,383,0,11,True,True,"['product_description', 'quality_cert', 'customer_comms']",merchant_lost
DSP-001079,13.1,Merchandise Not Received,Visa,417.66,INR,2026-08-29,15,electronics,same_day,True,True,True,avs_only,352,0,10,True,False,"['shipping_confirmation', 'delivery_proof', 'tracking_url']",merchant_won
DSP-000681,4860,Credit Not Processed (MC),Mastercard,246.57,INR,2026-08-29,7,home,pickup,True,True,True,both_match,477,0,7,False,True,"['refund_receipt', 'refund_arn', 'policy_terms']",merchant_won
DSP-001797,4863,Cardholder Does Not Recognize,Mastercard,1247.46,INR,2026-08-29,10,home,same_day,True,True,True,neither,21,1,2,True,True,"['billing_descriptor', 'customer_comms', 'ip_match']",merchant_won
DSP-000970,13.1,Merchandise Not Received,Visa,459.85,INR,2026-08-29,2,beauty,express,True,True,True,both_match,392,0,2,True,True,"['shipping_confirmation', 'delivery_proof', 'tracking_url']",merchant_won
DSP-003875,4860,Credit Not Processed (MC),Mastercard,338.79,INR,2026-08-29,20,health,standard,False,False,True,both_match,502,0,1,True,True,"['refund_receipt', 'refund_arn', 'policy_terms']",merchant_won
DSP-001819,4860,Credit Not Processed (MC),Mastercard,1998.04,INR,2026-08-29,5,toys,pickup,True,True,True,both_match,55,0,6,True,True,"['refund_receipt', 'refund_arn', 'policy_terms']",merchant_won
DSP-003384,13.1,Merchandise Not Received,Visa,2214.73,INR,2026-08-29,2,books,express,True,True,True,both_match,132,0,4,True,False,"['shipping_confirmation', 'delivery_proof', 'tracking_url']",merchant_lost
DSP-003814,13.6,Credit Not Processed,Visa,1157.68,INR,2026-08-29,1,fashion,express,True,True,True,both_match,147,0,10,False,False,"['refund_receipt', 'refund_arn', 'policy_terms']",merchant_won
DSP-000201,10.4,Fraud - Card Absent,Visa,713.34,INR,2026-08-29,4,grocery,same_day,True,True,False,neither,93,1,2,False,False,"['avs_cvv', 'ip_match', 'delivery_proof', 'device_fingerprint']",merchant_won
DSP-000598,4860,Credit Not Processed (MC),Mastercard,1609.16,INR,2026-08-29,20,electronics,standard,True,True,True,both_match,431,0,8,True,True,"['refund_receipt', 'refund_arn', 'policy_terms']",merchant_won
DSP-002959,10.4,Fraud - Card Absent,Visa,4755.1,INR,2026-08-29,19,electronics,express,False,False,False,both_match,3,1,1,False,False,"['avs_cvv', 'ip_match', 'delivery_proof', 'device_fingerprint']",merchant_lost
DSP-003019,13.3,Not as Described,Visa,109.1,INR,2026-08-29,18,grocery,express,True,True,True,both_match,90,0,4,True,True,"['product_description', 'customer_comms', 'return_policy']",merchant_won
DSP-003180,10.4,Fraud - Card Absent,Visa,93.28,INR,2026-08-29,14,automotive,standard,False,False,False,avs_only,172,0,0,False,False,"['avs_cvv', 'ip_match', 'delivery_proof', 'device_fingerprint']",merchant_won
DSP-001105,13.1,Merchandise Not Received,Visa,5430.83,INR,2026-08-29,24,automotive,express,True,True,True,both_match,556,0,7,False,True,"['shipping_confirmation', 'delivery_proof', 'tracking_url']",merchant_won
DSP-000544,4853,Cardholder Dispute - Defective,Mastercard,989.83,INR,2026-08-29,3,fashion,pickup,True,True,True,both_match,140,0,7,True,True,"['product_description', 'quality_cert', 'customer_comms']",merchant_won
DSP-000448,4853,Cardholder Dispute - Defective,Mastercard,1518.36,INR,2026-08-29,3,books,standard,False,False,True,both_match,387,0,4,True,True,"['product_description', 'quality_cert', 'customer_comms']",merchant_won
DSP-002354,10.5,Fraud - Counterfeit,Visa,2186.91,INR,2026-08-29,29,beauty,pickup,True,True,False,neither,219,0,3,False,False,"['emv_chip_data', 'pin_verification']",merchant_lost
DSP-001752,13.1,Merchandise Not Received,Visa,7180.37,INR,2026-08-29,7,grocery,pickup,True,True,True,cvv_only,214,0,9,True,True,"['shipping_confirmation', 'delivery_proof', 'tracking_url']",merchant_won
DSP-000820,10.4,Fraud - Card Absent,Visa,404.08,INR,2026-08-29,14,books,standard,False,False,False,neither,67,0,1,False,False,"['avs_cvv', 'ip_match', 'delivery_proof', 'device_fingerprint']",merchant_won
DSP-001653,4837,No Cardholder Authorization,Mastercard,706.8,INR,2026-08-29,12,grocery,pickup,True,True,True,cvv_only,150,1,1,False,False,"['3ds_authentication', 'avs_cvv', 'ip_match']",merchant_lost
DSP-003460,10.4,Fraud - Card Absent,Visa,397.91,INR,2026-08-29,114,sports,same_day,False,False,False,avs_only,14,0,2,False,False,"['avs_cvv', 'ip_match', 'delivery_proof', 'device_fingerprint']",merchant_lost
DSP-002318,4853,Cardholder Dispute - Defective,Mastercard,365.12,INR,2026-08-29,24,grocery,express,True,True,True,both_match,115,1,9,False,True,"['product_description', 'quality_cert', 'customer_comms']",merchant_won
DSP-003685,4837,No Cardholder Authorization,Mastercard,3428.75,INR,2026-08-29,99,books,standard,True,False,False,cvv_only,99,1,2,False,False,"['3ds_authentication', 'avs_cvv', 'ip_match']",merchant_lost
DSP-004705,10.4,Fraud - Card Absent,Visa,1029.04,INR,2026-08-29,3,sports,standard,False,False,True,neither,67,0,4,True,False,"['avs_cvv', 'ip_match', 'delivery_proof', 'device_fingerprint']",merchant_lost
DSP-000358,13.1,Merchandise Not Received,Visa,2523.62,INR,2026-08-29,16,grocery,standard,True,True,False,both_match,60,0,8,True,True,"['shipping_confirmation', 'delivery_proof', 'tracking_url']",merchant_won
DSP-002896,4853,Cardholder Dispute - Defective,Mastercard,501.28,INR,2026-08-29,31,automotive,standard,True,True,True,both_match,44,0,8,False,True,"['product_description', 'quality_cert', 'customer_comms']",merchant_won
DSP-000284,4863,Cardholder Does Not Recognize,Mastercard,1460.45,INR,2026-08-29,39,fashion,pickup,False,False,False,neither,95,0,4,False,False,"['billing_descriptor', 'customer_comms', 'ip_match']",merchant_lost
DSP-000530,13.1,Merchandise Not Received,Visa,971.6,INR,2026-08-29,1,automotive,same_day,True,True,True,both_match,125,0,11,False,True,"['shipping_confirmation', 'delivery_proof', 'tracking_url']",merchant_won
DSP-001977,13.1,Merchandise Not Received,Visa,970.19,INR,2026-08-29,14,electronics,express,True,False,True,both_match,17,0,4,False,True,"['shipping_confirmation', 'delivery_proof', 'tracking_url']",merchant_won
DSP-002079,13.1,Merchandise Not Received,Visa,1783.81,INR,2026-08-29,6,electronics,same_day,True,True,True,both_match,39,0,6,True,True,"['shipping_confirmation', 'delivery_proof', 'tracking_url']",merchant_won
DSP-000355,13.6,Credit Not Processed,Visa,11124.35,INR,2026-08-29,9,electronics,standard,True,False,True,both_match,9,0,9,True,True,"['refund_receipt', 'refund_arn', 'policy_terms']",merchant_won
DSP-003937,4853,Cardholder Dispute - Defective,Mastercard,720.93,INR,2026-08-29,13,grocery,same_day,True,True,True,both_match,121,0,4,True,True,"['product_description', 'quality_cert', 'customer_comms']",merchant_won
DSP-003144,10.4,Fraud - Card Absent,Visa,1118.03,INR,2026-08-29,31,books,standard,False,False,False,neither,8,1,2,False,False,"['avs_cvv', 'ip_match', 'delivery_proof', 'device_fingerprint']",merchant_won
DSP-002311,4837,No Cardholder Authorization,Mastercard,462.79,INR,2026-08-29,46,fashion,same_day,False,False,False,neither,68,1,0,False,False,"['3ds_authentication', 'avs_cvv', 'ip_match']",merchant_lost
DSP-004433,13.1,Merchandise Not Received,Visa,1671.51,INR,2026-08-29,12,sports,pickup,True,False,True,avs_only,459,0,6,False,True,"['shipping_confirmation', 'delivery_proof', 'tracking_url']",merchant_won
DSP-002542,13.1,Merchandise Not Received,Visa,3082.59,INR,2026-08-29,8,sports,pickup,True,True,True,both_match,41,0,9,True,False,"['shipping_confirmation', 'delivery_proof', 'tracking_url']",merchant_won
DSP-003035,4860,Credit Not Processed (MC),Mastercard,368.34,INR,2026-08-29,14,electronics,same_day,True,False,True,both_match,81,0,6,False,True,"['refund_receipt', 'refund_arn', 'policy_terms']",merchant_won
DSP-001152,13.3,Not as Described,Visa,1061.76,INR,2026-08-29,45,electronics,same_day,True,True,True,both_match,758,0,3,False,True,"['product_description', 'customer_comms', 'return_policy']",merchant_won
DSP-003592,13.1,Merchandise Not Received,Visa,2722.45,INR,2026-08-29,0,home,same_day,True,True,True,avs_only,72,1,2,True,True,"['shipping_confirmation', 'delivery_proof', 'tracking_url']",merchant_won
DSP-000407,4855,Goods or Services Not Provided,Mastercard,651.31,INR,2026-08-29,20,beauty,standard,True,True,True,neither,347,0,5,False,True,"['shipping_confirmation', 'delivery_proof', 'signed_receipt']",merchant_won
DSP-004501,4855,Goods or Services Not Provided,Mastercard,835.42,INR,2026-08-29,1,fashion,pickup,True,False,True,both_match,75,0,6,False,True,"['shipping_confirmation', 'delivery_proof', 'signed_receipt']",merchant_lost
